Date,Adj Close,Close,High,Low,Open,Volume,GDP,CPI,industry_type,Company
7/6/2022,15.11064625,15.13000011,15.31900024,14.78899956,15.01000023,2302390,294.977,529066000,MANUFACTURE,NVIDIA
7/7/2022,15.83771324,15.8579998,15.94499969,15.38899994,15.45600033,2302390,294.977,492903000,MANUFACTURE,NVIDIA
7/8/2022,15.81774139,15.8380003,16.03700066,15.38899994,15.43000031,2302390,294.977,467972000,MANUFACTURE,NVIDIA
7/11/2022,15.13261795,15.15200043,15.52700043,15.03800011,15.52600002,2302390,294.977,437321000,MANUFACTURE,NVIDIA
7/12/2022,15.06270504,15.08199978,15.43099976,14.87699986,15.26799965,2302390,294.977,458483000,MANUFACTURE,NVIDIA
7/13/2022,15.14460182,15.16399956,15.375,14.46500015,14.59000015,2302390,294.977,521918000,MANUFACTURE,NVIDIA
7/14/2022,15.35233593,15.37199974,15.47299957,14.72799969,15.1079998,2302390,294.977,456235000,MANUFACTURE,NVIDIA
7/15/2022,15.7418375,15.76200008,15.78199959,15.44499969,15.6590004,2302390,294.977,385935000,MANUFACTURE,NVIDIA
7/18/2022,16.08040428,16.10099983,16.89699936,16.00200081,16.30200005,2302390,294.977,670517000,MANUFACTURE,NVIDIA
7/19/2022,16.97026634,16.99200058,17.11000061,16.17200089,16.48600006,2302390,294.977,702366000,MANUFACTURE,NVIDIA
7/20/2022,17.78421783,17.80699921,17.93300056,16.8010006,16.9470005,2302390,294.977,760538000,MANUFACTURE,NVIDIA
7/21/2022,18.02691269,18.04999924,18.1439991,17.54500008,17.88500023,2302390,294.977,557049000,MANUFACTURE,NVIDIA
7/22/2022,17.29684448,17.31900024,17.96699905,17.13699913,17.89299965,2302390,294.977,536671000,MANUFACTURE,NVIDIA
7/25/2022,17.00222397,17.02400017,17.12400055,16.64900017,17.0189991,2302390,294.977,480748000,MANUFACTURE,NVIDIA
7/26/2022,16.51185417,16.53300095,16.91900063,16.47800064,16.88899994,2302390,294.977,397865000,MANUFACTURE,NVIDIA
7/27/2022,17.76724243,17.79000092,17.93600082,16.91300011,17.03199959,2302390,294.977,569776000,MANUFACTURE,NVIDIA
7/28/2022,17.96099663,17.98399925,18.13999939,17.44000053,17.97500038,2302390,294.977,474646000,MANUFACTURE,NVIDIA
7/29/2022,18.13976669,18.16300011,18.24399948,17.69199944,17.81299973,2302390,294.977,435460000,MANUFACTURE,NVIDIA
8/1/2022,18.4174099,18.44099998,18.84600067,17.98999977,18.18199921,2302390,295.209,476469000,MANUFACTURE,NVIDIA
8/2/2022,18.50229454,18.52599907,18.93799973,18.09199905,18.12199974,2302390,295.209,489527000,MANUFACTURE,NVIDIA
8/3/2022,18.86883354,18.89299965,18.96800041,18.13699913,18.18400002,2302390,295.209,418146000,MANUFACTURE,NVIDIA
8/4/2022,19.19042015,19.21500015,19.27400017,18.76000023,18.84900093,2302390,295.209,409652000,MANUFACTURE,NVIDIA
8/5/2022,18.96470833,18.98900032,19.22900009,18.66600037,18.80999947,2302390,295.209,386068000,MANUFACTURE,NVIDIA
8/8/2022,17.77023888,17.79299927,18.23900032,17.24200058,17.50200081,2302390,295.209,981859000,MANUFACTURE,NVIDIA
8/9/2022,17.06414413,17.08600044,17.4470005,16.72400093,17.25200081,2302390,295.209,668263000,MANUFACTURE,NVIDIA
8/10/2022,18.07385254,18.09700012,18.11800003,17.31699944,17.69799995,2302390,295.209,597422000,MANUFACTURE,NVIDIA
8/11/2022,17.9190464,17.94199944,18.70700073,17.87599945,18.13100052,2302390,295.209,509327000,MANUFACTURE,NVIDIA
8/12/2022,18.68506813,18.70899963,18.71800041,17.95299911,18.15999985,2302390,295.209,478094000,MANUFACTURE,NVIDIA
8/15/2022,19.0076561,19.03199959,19.16399956,18.61300087,18.70100021,2302390,295.209,457666000,MANUFACTURE,NVIDIA
